term,definition
abacus,주판
abandon,"(감정,충동에) 사로잡히다, 방종"
abase,"(품위, 지위) 강등시키다"
abash,"당황하게 하다, 부끄럽게 하다"
abate,"(정도,세기,수량 등) 줄이다,감소시키다"
abbreviate,"(단어,문장,글의) 길이를 줄이다"
aberrant,"정도를 벗어난,비정상의,변종의"
abet,"부추기다; 돕다, 지원하다"
abject,"(생활,상태,태도,기분) 비참한"
abnormal,비정상적인
abound,풍부하다
abrade,마모시키다
abridge,"요약하다,축약하다"
abscond,"몰래 떠나다, 종적을 감추다"
absolve,"(비난,유죄성,책임에서) 벗어나게 해주다"
absorb,흡수하다; 열중케 하다
abstemious,"(음식,음주) 삼가는,절제하는"
abstract,"요약하다,주의를 딴 곳으로 돌리다 ,(설명이) 구체적이지 않은,난해한"
abstruse,"난해한,심오한"
absurd,"비상식적인, 터무니없는"
accede,동의하다
accelerate,"가속하다, 촉진시키다"
accidental,"우연의, 뜻밖의; 불변의"
acclaim,"칭송하다,환호를 보내다"
acclimate,"( 새로운 환경에) 적응시키다,적응하다"
accolade,"영예,영광,찬양"
accost,"다가가서 ( 당돌하게,공격적으로) 말 걸다"
accrete,점진적으로 증가하다
accrue,"(증가,첨가에 의해서) 생기다"
acerbic,"(태도,말) 신랄한; (맛) 신,쓴"
achromatic,무색의
acme,최정상
acolyte,"(로마가톨릭 예배의식) 시제,복사"
acoustic,"음향의,소리의,청각의"
acquiesce,묵묵히 받아들이다
acrid,"(냄새와 맛)매운,신;(말,어조) 신랄한"
acumen,"명민,판단력,분별력"
acute,"날카로운, 통찰력 있는, 민감한, 급성의"
ad-lib,즉흥 연설(연기 등)
adamant,단호한
adapted,적절히 변경된
adept,솜씨 좋은
adherent,"지지자,추종자"
adhesive,"접착성의,끈적끈적한"
adjunct,"부가물, 첨가물"
admonish,"경고하다,훈계하다"
adorn,장식하다
adroit,"솜씨 좋은,능숙한"
adulate,심하게 아부하다
adulterate,"불순물을 섞다,(불순물을 섞어)순도/품질을 떨어뜨리다"
adumbrate,"어렴풋이 예시하다,희미한 모습을 그리다"
advent,"출현,도래"
adversary,"적,원수"
advocate,"지지하다,옹호하다"
aerate,통풍시키다
aerial,"공기의,공기 중에서 발생하는"
aesthete,심미안이 있는 사람
affable,"사귀기 쉬운,붙임성 있는,상냥한"
affectation,"가장,꾸미는 태도,허세 부림"
affected,"인위적인,꾸민"
affinity,"좋아함,유사성"
affix,"첨부하다,고정시키다"
affront,(면전에서) 모욕(하다)
agape,(입) 벌어진
agglutinated,"접착된,응집된"
aggrandize,"(권력,힘,지위,재산,명성 등) 증대시키다"
aggravate,"악화시키다,화나게 하다"
aggregate,"모으다;결합된,총계의;집단,총계"
aggrieve,"괴롭히다,고통을 주다"
aghast,"아연한, 대경실색한"
agile,민첩한
agitation,"불안,초조;선동;(용액) 휘 젖기"
agog,"(~하고 싶어) 못 견디는,흥분한"
agonize,"(심적으로) 괴로워하다,번민하다;괴롭히다"
agreeable,"상쾌한,기분을 좋게 해주는;동의하는"
aid,"돕다,지원하다"
ailing,아픈
aimless,목적 없이 노력하지 않는
airproof,공기가 통하지 않는
alacrity,"민첩함,민활함;선뜻 ~함"
albino,백화병환자
alibi,부재증명
alienate,"멀리하다,사귀지 않다,소외시키다;양도하다"
align,"제휴하다,연합하다;일직선으로 맞추다;가지런히 두다"
allay,"(두려움,의심,염려) 가라앉히다,(고통) 완화시키다"
alleviate,경감하다
alloy,"합금하다,혼합하다"
allude,"넌지시 말하다,암시하다"
aloof,"쌀쌀맞은,무관심한,초연한"
amalgamate,"혼합시키다,융합시키다"
ambiguous,"여러가지로 해석가능한, 모호한"
ambivalent,상반된 마음이나 생각을 동시에 가진;마음이 오락가락하는
amble,천천히 걷다
ambrosial,"맛있는,향기로운"
ameliorate,"개선하다,개량하다"
amenable,"잘 따르는,순종적인"
amenity,"편의시설,쾌적함,예의"
amnesia,건망증
amorphous,"(형태,정의가) 불명확한"
anachronistic,연대기적 오류가 있는;구시대적인
anaerobic,혐기성의(산소를 싫어하는)
analgesic,통증을 없애주는;진통제
anarchist,무정부주의자;폭력혁명가
anathema,"저주, 증오; (가톨릭) 파문, 이단배척"
ancillary,"부속의,보조의"
anecdote,일화
annotate,주석(주해)를 달다
annul,"무효로 하다, 취소하다,폐지하다"
anodyne,"진통제,진정제"
anomalous,"변칙적인,비정상의,특이한"
anonymous,"무명의,익명의"
answerable,"책임져야 하는,책임이 있는"
anterior,이전의
antic,"익살스러운,장난끼 있는"
antidote,해독제
antipathy,"반감,혐오"
antithetical,"대조법의,정반대의"
apathetic,"무감각한,무정한,무관심한"
apex,최고점
aphid,진딧물
aphorism,"금언,격언"
apiary,양봉장
apocalyptic,"궁극적인,결정적인,매우 중요한;종말론적인 파괴를 예언하는, 끔찍한"
apocryphal,"저작자가 의심스런,가짜의"
apologist,"변증론자,변론자"
apoplectic,"성난,화난,뇌졸중에 걸린"
apostate,변절자;변절하는
appeal,"상소,항고"
appease,"달래다,진정시키다,양보하다"
applaud,박수갈채를 보내다
appreciable,"상당한,쉽게 알아볼수있는"
apprehensible,이해하기 쉬운
apprehensive,"걱정하는,겁내는"
apprise,"정보를 주다,알려주다"
approachable,"친근한,말걸기쉬운"
approbation,"승인,칭찬"
apropos,"적절한,알맞은,시기 적절한"
aquatic,"물의,수생의"
aqueous,"물의,수성의,물을 함유한"
aquifer,"대수층,지하수를 내장한 침투성 지층"
arbiter,중재자;판정권자
arboreal,"수목의, (동물) 나무위에 사는"
arboretum,수목원
arcane,"불가사의한,신비한"
archaic,"고대의,고풍스러운,구식의"
archipelago,군도
archive,"기록모음,기록보관소"
ardent,열정적인
argot,은어
aridness,건조함
arrest,진행을 막다;눈길을 끌다
arrhythemic,"리듬이 없는, 규칙성이나 반복이 없는"
arrogance,오만함
articulate,말을 유창하고 조리 있게 하는
artisan,"기능공,숙련공,장인"
artless,"꾸밈없는,솔직한;자연스러운;솜씨 없는,기교 없는"
ascendancy,"영향력,우세함"
ascendant,"상승하는,올라가는;(힘과 영향력)"
ascetic,금욕주의자
ash,재
aside,여담
askew,휘어진
aspersion,비방
assembly,모임
assiduous,"끈기 있고 부지런한,꾸준한"
assuage,"달래다,만족시키다"
assume,"가정하다;(권력,의무)떠맡다;가장하다"
astringent,"수렴제;신랄한,(맛,냄새)신,떫은"
asunder,분리된;나누어진
asylum,"(정치범,난민,정신병자 등의)보호시설, 피난처"
atrocious,"극악무도한,아주 나쁜,매우 잔인한"
atrophy,"신체 구성조직의 퇴화;약화,감소"
attentive,"주의 깊은;상냥한,친절한"
attenuate,"가늘게 하다,약화시키다"
attest,"증명하다,증언하다,입증하다"
audacious,"대담한,호기로운,무모한"
audit,"(회계,장부)감사/검사하다"
augment,증가/증대시키다;증가하다
auspicious,"길조의,유리한"
autonomy,"자율성,자치권,자립"
avarice,탐욕
aversion,혐오감
aviary,(큰)새장
avid,"몹시 탐내는;열심인,열광적인,열정적인"
awning,차양
awry,휘어진
babble,재잘거리다;옹알거리다
badger,계속 괴롭히다;계속 졸라대다
badinage,가벼운 농담
baffle,"당황하게 하다,어리둥절하게 하다"
bale,"재앙;불운,고통,불행"
balk,"주저하다,갑자기 서서 나아가지 않다;방해하다,막다,좌절시키다"
balky,"고집 센,말을 안 듣는"
ballad,"담시,노래"
ballast,배의 무게중심
balm,"향유,(피부,마음)진정제"
banal,진부한
bane,고통의 근원;맹독
banister,(계단 옆)난간
barb,신랄한 비난
barefaced,뻔뻔스런;숨김없는
bark,나무껍질
baroque,"지나치게 장식적은,화려한"
barracks,"군인들의 막사,병영,숙사"
barrel,"쏜살같이 움직이다,질주하다"
barren,"열매 맺지 않는,수확이 없는"
base,"(도덕적으로)상스러운,천한,비열한"
batch,"(과자) 한번 구워내는 양, 한다발, 한무리"
bauble,겉만 번지르르한 싸구려; 시시한 것
bawdy,"외설스런, 음탕한"
beacon,"등대, 봉홧불"
beatific,"축복을 주는, 행복을 주는"
bedecked,"치장된, 장식된"
bedlam,"소란스러운 곳; 대소동, 혼란"
befitting,"안성맞춤의, 적합한"
befriend,친구가 되다
befuddle,혼란스럽게 하다
beguile,"매혹시키다, 속이다, 기만하다"
beleaguer,괴롭히다; 포위 공격하다
belie,"잘못 드러내다, 모순되다"
bellicose,"호전적인, 싸우기 좋아하는"
belligerent,"호전적인, 전쟁 중에 있는"
bellwether,"지도자, 선도자"
benediction,"축복, 축도"
beneficence,"선행, 자비"
benevolent,"자비심 많은, 자선을 행하는"
benignant,"친절한, 다정한, 유익한"
benumbed,무감해진
berate,호되게 꾸짖다
betray,"배신하다, 배반하다; 은연중에 드러내다"
better,향상시키다; 더 나은
bevy,"무리, 떼"
bewitch,"마술 걸다, 매혹시키다"
bibliography,"도서목록, 문헌 목록"
bibliophile,애서가
bifurcate,"두 갈래로 가르다, 분기하다"
bigot,"마음이 편협한 사람; 나와 생각, 종교, 사상 등이 다른 사람을 배척하는 사람"
bilious,"극도로 불쾌한, 성미 까다로운"
bilk,"(돈)사취하다, 속이다; 피하다; 좌절시키다, 막다"
biting,신랄한; 통렬한
blandish,"아부하는 말로 설득하다, 꼬드기다"
blanket,"담요로 덮다, 전면을 덮다"
blatant,"뻔한, 몹시 떠들썩한; 야단 법석의"
blazon,"과시하다, 꾸미다"
blemish,흠; 도덕적 오점
blight,"고사시키다, 해를 입히다"
bliss,"더 없는 기쁨, 행복"
blithe,"경솔한, 부주의한;명랑한, 쾌활한"
blueprint,청사진
blunt,"직설적인, 무뚝뚝한, 퉁명스런; (칼이나 연필)뭉퉁하고 무딘; 날카롭지 않게 만들다"
blurb,"짧은 광고, 선전문"
